cycle,input_fire,sample_index,channel_id,sample_u16,fault_active,input_ready,mode,q_shift,current_mad,cfg_t_low,cfg_t_high,quantized,dptc_delta,bit_width,is_absolute,packer_byte_valid,packer_byte,m_axis_tvalid,m_axis_byte,m_axis_tlast,fifo_level,fifo_full,overflow
62,1,56,2,5007,0,1,1,2,3,60,450,1252,0,1,0,0,0,0,0,0,0,0,0
63,1,57,2,5006,0,1,1,2,3,60,450,1252,0,1,0,0,0,0,0,0,0,0,0
64,1,58,2,5005,0,1,1,2,3,60,450,1251,0,1,0,0,0,0,0,0,0,0,0
65,1,59,2,5004,0,1,1,2,3,60,450,1251,-1,2,0,0,0,0,0,0,0,0,0
66,1,60,2,5003,0,1,1,2,3,60,450,1251,0,1,0,0,0,0,0,0,0,0,0
67,1,61,2,5002,0,1,1,2,3,60,450,1251,0,1,0,0,0,0,0,0,0,0,0
68,1,62,2,5001,0,1,1,2,3,60,450,1250,0,1,0,1,48,0,0,0,0,0,0
69,1,63,2,5000,0,1,1,2,3,60,450,1250,-1,2,0,0,0,0,0,0,0,0,0
70,1,64,2,4999,0,1,1,2,3,60,450,1250,0,1,0,0,0,0,0,0,0,0,0
71,1,65,2,4998,0,1,1,2,3,60,450,1250,0,1,0,0,0,0,0,0,0,0,0
72,1,66,2,4997,0,1,1,2,3,60,450,1249,0,1,0,0,0,0,0,0,0,0,0
73,1,67,2,4996,0,1,1,2,3,60,450,1249,-1,2,0,1,6,0,0,0,0,0,0
74,1,68,2,4995,0,1,1,2,3,60,450,1249,0,1,0,0,0,0,0,0,0,0,0
75,1,69,2,4994,0,1,1,2,4,60,450,1249,0,1,0,0,0,0,0,0,0,0,0
76,1,70,2,4993,0,1,1,2,4,60,450,1248,0,1,0,0,0,0,0,0,1,0,0
77,1,71,2,4992,0,1,1,2,4,60,450,1248,-1,2,0,0,0,1,8,0,1,0,0
78,1,72,2,4991,0,1,1,2,4,60,450,1248,0,1,0,0,0,1,16,0,1,0,0
79,1,73,2,4990,0,1,1,2,4,60,450,1248,0,1,0,1,99,1,192,0,1,0,0
80,1,74,2,4989,0,1,1,2,4,60,450,1247,0,1,0,0,0,1,0,0,1,0,0
81,1,75,2,4989,0,1,1,2,4,60,450,1247,-1,2,0,0,0,1,0,0,1,0,0
82,1,76,2,4988,0,1,1,2,4,60,450,1247,0,1,0,0,0,1,16,0,1,0,0
83,1,77,2,4987,0,1,1,2,4,60,450,1247,0,1,0,0,0,1,0,0,1,0,0
84,1,78,2,4986,0,1,1,2,4,60,450,1247,0,1,0,0,0,1,0,0,1,0,0
85,1,79,2,4986,0,1,1,2,3,60,450,1246,0,1,0,0,0,1,0,0,1,0,0
86,1,80,2,4985,0,1,1,2,3,60,450,1246,-1,2,0,1,12,1,0,0,1,0,0
87,1,81,2,4984,0,1,1,2,3,60,450,1246,0,1,0,0,0,1,72,0,1,0,0
88,1,82,2,4984,0,1,1,2,3,60,450,1246,0,1,0,0,0,1,226,0,1,0,0
89,1,83,2,4983,0,1,1,2,3,60,450,1246,0,1,0,0,0,1,4,0,1,0,0
90,1,84,2,4983,0,1,1,2,3,60,450,1246,0,1,0,0,0,1,8,0,1,0,0
91,1,85,2,4982,0,1,1,2,3,60,450,1245,0,1,0,0,0,1,2,0,1,0,0
92,1,86,2,4982,0,1,1,2,3,60,450,1245,-1,2,0,0,0,1,129,0,1,0,0
93,1,87,2,4981,0,1,1,2,2,60,450,1245,0,1,0,1,131,1,0,0,1,0,0
94,1,88,2,4981,0,1,1,2,2,60,450,1245,0,1,0,0,0,1,4,0,1,0,0
95,1,89,2,4981,0,1,1,2,2,60,450,1245,0,1,0,0,0,1,96,0,1,0,0
96,1,90,2,4980,0,1,1,2,2,60,450,1245,0,1,0,0,0,1,0,0,1,0,0
97,1,91,2,4980,0,1,1,2,2,60,450,1245,0,1,0,0,0,1,195,0,1,0,0
98,1,92,2,4980,0,1,1,2,2,60,450,1245,0,1,0,0,0,1,48,0,1,0,0
99,1,93,2,4980,0,1,1,2,2,60,450,1245,0,1,0,0,0,1,6,0,1,0,0
100,1,94,2,4980,0,1,1,2,1,60,450,1245,0,1,0,1,1,1,144,0,1,0,0
101,1,95,2,4980,0,1,1,2,1,60,450,1245,0,1,0,0,0,1,223,1,0,0,0
102,1,96,2,4980,0,1,1,2,1,60,450,1245,0,1,0,0,0,0,223,0,0,0,0
103,1,97,2,4980,0,1,1,2,1,60,450,1245,0,1,0,0,0,0,223,0,0,0,0
104,1,98,2,4980,0,1,1,2,1,60,450,1245,0,1,0,0,0,0,223,0,0,0,0
